,Scores
Threatened with homelessness within 56 days - Prevention duty owed,0.5194754647004381
Homeless - Relief duty owed4,0.5678222073507914
Total households with support needs,0.015207868152759796
median_earning_2020,-0.04743901514992923
lower_quatile_earning_2020,0.01361736489557691
Total Affordable (Completions),0.12917319063740634
Size_of_social_housing_waiting_list_2021,0.04984797773116246
2021 Total Lettings,-0.5257902171379162
A_B_property_counts,-0.025533423572272673
