,Local Authority code,Local Authority name,Threatened with homelessness within 56 days-Prevention duty owed,Homeless - Relief duty owed4,Total households with support needs,Total secured accommodation,Homeless (including intentionally homeless),Size_of_social_housing_waiting_list_2021,2021 Total Lettings,A_B_property_counts,C_D_property_counts,E_F_property_counts,G_H_property_counts,median_houses_2020,median_earning_2020,ratio_by_medians_2020,lower_quatile_houses_2020,lower_quatile_earning_2020,ratio_by_lower_quatile_2020
215,E07000061,Eastbourne,32,108,78,25,8,1118,62.0,21890,19570,6640,1210,250000.0,31555,7.92,190000.0,22420,8.47
216,E07000081,Gloucester,125,187,262,28,41,5316,200.0,33760,19820,4600,190,210000.0,27110,7.75,165000.0,20254,8.15
217,E07000203,Mid Suffolk,37,15,36,28,6,587,129.0,18090,17520,8650,1770,260000.0,30644,8.48,207000.0,23255,8.9
218,E07000168,Scarborough,60,95,83,33,28,1973,317.0,31170,20320,5760,710,166000.0,27226,6.1,128000.0,20646,6.2
219,E07000045,Teignbridge,158,38,162,87,16,998,119.0,23300,25850,12220,2130,253000.0,25149,10.06,186750.0,19915,9.38
220,E06000028,Bournemouth,,,,,,..,,,,,,,,,,,
221,E07000006,South Bucks,,,,,,..,,,,,,,,,,,
222,E06000045,Southampton,105,284,298,43,18,6347,599.0,71620,33040,4580,470,220000.0,29993,7.34,171750.0,23171,7.41
223,E07000239,Wyre Forest,57,61,58,27,11,2547,108.0,23120,17760,5220,1380,192000.0,29699,6.46,150000.0,21818,6.88
224,E07000208,Epsom Ewell,21,40,30,4,8,1095,18.0,1410,14510,12430,4240,485000.0,36579,13.26,355000.0,26342,13.48
225,E07000210,Mole Valley,41,20,48,14,9,582,60.0,4330,12480,13380,8730,516500.0,30666,16.84,352500.0,24205,14.56
226,E07000154,Northampton,181,263,218,97,51,2942,251.0,53910,35560,8380,1370,212250.0,27663,7.67,168000.0,21005,8.0
227,E07000052,West Dorset,,,,,,..,,,,,,,,,,,
228,E09000033,Westminster,91,334,171,69,7,3910,165.0,8160,38610,42210,39980,980000.0,43726,22.41,620000.0,31496,19.69
229,E07000049,East Dorset,,,,,,..,,,,,,,,,,,
