,Local Authority code,Local Authority name,Threatened with homelessness within 56 days-Prevention duty owed,Homeless - Relief duty owed4,Total households with support needs,Total secured accommodation,Homeless (including intentionally homeless),Size_of_social_housing_waiting_list_2021,2021 Total Lettings,A_B_property_counts,C_D_property_counts,E_F_property_counts,G_H_property_counts,median_houses_2020,median_earning_2020,ratio_by_medians_2020,lower_quatile_houses_2020,lower_quatile_earning_2020,ratio_by_lower_quatile_2020
332,E06000056,Central Bedfordshire,155,106,159,91,28,1789,533.0,34890,59060,25740,5590,312000.0,36133,8.63,245500.0,25875,9.49
333,E07000152,East Northamptonshire,,,,,,1322,147.0,20830,12290,6720,1640,226995.0,32170,7.06,180000.0,25821,6.97
334,E07000246,Somerset West Taunton,-51,-51,..,..,..,3342,379.0,31540,26530,13370,2450,234000.0,29342,7.97,180000.0,21903,8.22
335,E06000008,Blackburn with Darwen,200,40,117,132,1,3939,456.0,45220,13160,3060,650,120000.0,24579,4.88,84000.0,19591,4.29
336,E06000050,Cheshire West Chester,156,242,335,73,41,7434,568.0,72700,53610,26740,8400,210000.0,31368,6.69,147500.0,22305,6.61
337,E07000038,North East Derbyshire,41,31,42,23,2,2360,188.0,28420,12900,4690,940,197250.0,28290,6.97,140000.0,21695,6.45
338,E06000025,South Gloucestershire,135,65,119,125,8,4059,454.0,49590,51430,18970,2240,283000.0,31875,8.88,227950.0,23746,9.6
339,E07000155,South Northamptonshire,,,,,,134,107.0,11110,16990,10500,2660,310000.0,31806,9.75,245000.0,25063,9.78
340,E07000198,Staffordshire Moorlands,35,14,25,12,1,680,96.0,20240,16930,6360,800,180000.0,29301,6.14,137500.0,20052,6.86
341,E06000012,North East Lincolnshire,185,194,227,78,21,3982,460.0,56230,14120,3050,550,135000.0,28767,4.69,95000.0,19722,4.82
342,E07000146,King's Lynn West Norfolk,38,79,83,23,7,1093,202.0,42060,23380,7670,1240,225000.0,30940,7.27,175000.0,21080,8.3
343,E06000022,Bath North East Somerset,45,40,61,37,20,4871,355.0,28420,35170,15880,5480,325000.0,30438,10.68,250000.0,23817,10.5
344,E06000019,"Herefordshire, County of",159,145,219,50,51,872,157.0,33550,30400,19240,3840,242500.0,28468,8.52,182000.0,21308,8.54
345,E06000011,East Riding of Yorkshire,68,105,115,19,32,5927,303.0,76650,55540,23290,3580,187500.0,31592,5.94,140000.0,22207,6.3
346,E07000134,North West Leicestershire,38,60,53,9,1,1103,205.0,24280,14490,6510,990,222500.0,29928,7.43,168500.0,22360,7.54
